millis,unixtime,datetime,RTC_DS1307,Feeder A,Liters Drank
701, 1507487008, 2017/10/8 18:23:28,A
millis,Sensor
709, -1
710, -2
712, -3
713, -4
715, -5
716, -6
3002060, 2
3002086, -2
3002090, 2
3002159, -2
3005745, 2
3011586, -2
3011589, 2
3011591, -2
3011621, 2
3011694, -2
3011697, 2
3011698, -2
3011704, 2
3011966, -2
3017091, 2
3023989, -2
3024039, 2
3024051, -2
3024096, 2
3024112, -2
3024121, 2
3024276, -2
3026376, 2
3028681, -2
3039634, 2
3039644, -2
3039725, 2
3039754, -2
3039760, 2
3039764, -2
3039765, 2
3039767, -2
3039782, 2
3042147, -2
3043115, 2
3043124, -2
3043203, 2
3043298, -2
3043348, 2
3046127, -2
3049566, 2
3049672, -2
3049760, 2
3049797, -2
3076264, 2
3076276, -2
3084841, 2
3084850, -2
3084921, 2
3084947, -2
3084950, 2
3084955, -2
3084958, 2
3084962, -2
3085056, 2
3085148, -2
3085167, 2
3085168, -2
3085170, 2
3085171, -2
3085173, 2
3085174, -2
3105300, 2
3105311, -2
3105338, 2
3105430, -2
3105432, 2
3105436, -2
3105473, 2
3105930, -2
3113521, 6
3113590, -6
3122304, 2
3122333, -2
3122366, 2
3122394, -2
3122396, 2
3122404, -2
3122408, 2
3122468, -2
3122487, 2
3122515, -2
3122524, 2
3122578, -2
3143601, 2
3143662, -2
3169199, 2
3169209, -2
3169229, 2
3169356, -2
3169357, 2
3169366, -2
3169368, 2
3170289, -2
3192884, 2
3192915, -2
3192957, 2
3193023, -2
3193083, 2
3193099, -2
3193110, 2
3193133, -2
3193160, 2
3193219, -2
3193230, 2
3193238, -2
3193246, 2
3194245, -2
3208783, 2
3208787, -2
3208884, 2
3208922, -2
3208925, 2
3208929, -2
3208931, 2
3208937, -2
3208956, 2
3208961, -2
3208963, 2
3209057, -2
3209058, 2
3209061, -2
3209280, 2
3209789, -2
3227771, 2
3227787, -2
3227849, 2
3227892, -2
3227970, 2
3228001, -2
3228004, 2
3228007, -2
3228008, 2
3228013, -2
3228026, 2
3228027, -2
3228042, 2
3228121, -2
3228123, 2
3228454, -2
3235782, 2
3235827, -2
3235863, 2
3235885, -2
3235886, 2
3235887, -2
3235889, 2
3235891, -2
3235892, 2
3235897, -2
3235899, 2
3235908, -2
3235915, 2
3235918, -2
3235919, 2
3235921, -2
3235922, 2
3235979, -2
3236016, 2
3236020, -2
3245357, 4
3245400, -4
3263705, 2
3263839, -2
3263870, 2
3263890, -2
3264095, 2
3265835, -2
3273236, 2
3273252, -2
3273313, 2
3273344, -2
3273382, 2
3273436, -2
3273455, 2
3273459, -2
3273504, 2
3274299, -2
3280373, 2
3280374, -2
3287847, 2
3287864, -2
3287867, 2
3287892, -2
3287907, 2
3287909, -2
3287910, 2
3288022, -2
3288025, 2
3288112, -2
3288121, 2
3288993, -2
3296182, 2
3296285, -2
3296286, 2
3296351, -2
3296381, 2
3296394, -2
3296414, 2
3297137, -2
3306887, 2
3306921, -2
3306923, 2
3306924, -2
3306926, 2
3306935, -2
3306955, 2
3306994, -2
3307006, 2
3307037, -2
3307039, 2
3307047, -2
3323833, 2
3323845, -2
3323862, 2
3323871, -2
3323873, 2
3323996, -2
3323997, 2
3324010, -2
3324026, 2
3324027, -2
3324143, 2
3324921, -2
3595390, 6
3595399, -6
3596791, 5
3596796, -5
3596814, 5
3596827, -5
3596905, 5
3596914, -5
3597028, 5
3597037, -5
3597215, 5
3597241, -5
3597382, 5
3597405, -5
3605724, 5
3605728, -5
3605738, 5
3605787, -5
3605856, 5
3605859, -5
3605879, 5
3605894, -5
3625028, 4
3625037, -4
3630329, 6
3630355, -6
3630368, 6
3630373, -6
3638009, 6
3638091, -6
3638129, 6
3638130, -6
3638131, 6
3638188, -6
3638192, 6
3638196, -6
3638203, 6
3638204, -6
3650531, 6
3650534, -6
3650661, 6
3650667, -6
3657164, 6
3657181, -6
3657209, 6
3657236, -6
3657265, 6
3657268, -6
3657334, 6
3657366, -6
3657372, 6
3657388, -6
3661250, 6
3661262, -6
3691235, 6
3691330, -6
3691357, 6
3691365, -6
3691428, 6
3691469, -6
3691480, 6
3691489, -6
3696182, 3
3696184, -3
3707310, 6
3707311, -6
3707315, 6
3707339, -6
3707352, 6
3707355, -6
3707363, 6
3707365, -6
3708332, 6
3708333, -6
3708484, 6
3708502, -6
3734782, 2
3734788, -2
3734843, 2
3734868, -2
3734988, 2
3735706, -2
3743347, 5
3743348, -5
3743351, 5
3743389, -5
3743400, 5
3743416, -5
3746078, 2
3746099, -2
3746164, 2
3746184, -2
3746241, 2
3746319, -2
3754121, 2
3754165, -2
3754185, 2
3754214, -2
3754229, 2
3754230, -2
3754231, 2
3754240, -2
3754241, 2
3755323, -2
3762640, 2
3762642, -2
3762643, 2
3762644, -2
3762647, 2
3762649, -2
3762662, 2
3762755, -2
3762766, 2
3762785, -2
3762791, 2
3763041, -2
3763042, 2
3763660, -2
3774241, 2
3774298, -2
3774323, 2
3774474, -2
3774476, 2
3774485, -2
3774496, 2
3774498, -2
3774499, 2
3774576, -2
3774584, 2
3774592, -2
3774596, 2
3774597, -2
3774857, 2
3775331, -2
3938621, 6
3938662, -6
3938695, 6
3938700, -6
3938756, 6
3938800, -6
3938851, 6
3938853, -6
3938979, 6
3938980, -6
3947350, 6
3947419, -6
3947428, 6
3947437, -6
3947484, 6
3947580, -6
3947581, 6
3947585, -6
3947637, 6
3947656, -6
3947674, 6
3947699, -6
3986566, 5
3986608, -5
3986707, 5
3986742, -5
3986759, 5
3986765, -5
4000227, 3
4000231, -3
4005421, 5
4005484, -5
4005558, 5
4005566, -5
4005575, 5
4005607, -5
4005624, 5
4005635, -5
4034949, 5
4035004, -5
4035098, 5
4035145, -5
4035220, 5
4035265, -5
4035283, 5
4035288, -5
4064229, 5
4064286, -5
4064628, 5
4064636, -5
4064650, 5
4064657, -5
4077430, 5
4077473, -5
4077554, 5
4077620, -5
4077689, 5
4077693, -5
4077709, 5
4077746, -5
4077760, 5
4077761, -5
4077763, 5
4077764, -5
4095982, 5
4095987, -5
4096004, 5
4096044, -5
4096104, 5
4096109, -5
4096124, 5
4096165, -5
4116473, 5
4116504, -5
4130247, 5
4130255, -5
4130267, 5
4130286, -5
4130293, 5
4130298, -5
4130305, 5
4130306, -5
4239722, 5
4239779, -5
4239855, 5
4239916, -5
4256939, 5
4256943, -5
4256957, 5
4257010, -5
4257083, 5
4257086, -5
4257105, 5
4257162, -5
4257221, 5
4257229, -5
4257245, 5
4257287, -5
4257294, 5
4257295, -5
4257296, 5
4257297, -5
4333435, 2
4333440, -2
4333445, 2
4333522, -2
4333663, 2
4333680, -2
4333684, 2
4333686, -2
4333696, 2
4333769, -2
4333783, 2
4333797, -2
4340689, 2
4340794, -2
4340796, 2
4340800, -2
4340802, 2
4340804, -2
4340806, 2
4340894, -2
4340899, 2
4341473, 6
4341506, -6
4341514, 6
4341530, -6
4341597, 6
4341598, -2
4341603, -6
4341646, 6
4341652, -6
4341661, 6
4341666, -6
4341688, 6
4341692, -6
4341754, 6
4341787, -6
4345591, 6
4345598, -6
4345605, 6
4345635, -6
4345652, 6
4345661, -6
4349175, 2
4349277, -2
4349332, 2
4349348, -2
4349412, 2
4349432, -2
4349445, 2
4349446, -2
4349474, 2
4349510, -2
4361778, 5
4361783, -5
4361800, 5
4361895, -5
4361896, 5
4361897, -5
4361899, 5
4361900, -5
4361962, 5
4361966, -5
4361980, 5
4362068, -5
4362122, 5
4362127, -5
4362143, 5
4362190, -5
4362191, 5
4362192, -5
4363869, 5
4363886, -5
4363897, 5
4363952, -5
4364024, 5
4364037, -5
4364041, 5
4364097, -5
4364167, 5
4364235, -5
4368627, 2
4368647, -2
4368697, 2
4368740, -2
4368752, 2
4368756, -2
4370341, 2
4370354, -2
4370393, 2
4370465, -2
4370519, 2
4370530, -2
4370546, 2
4370566, -2
4370569, 2
4370606, -2
4370614, 2
4371162, -2
4375182, 2
4375184, -2
4375283, 2
4375298, -2
4375300, 2
4375316, -2
4375336, 2
4375431, -2
4375435, 2
4375443, -2
4375445, 2
4375571, -2
4375572, 2
4375577, -2
4381211, 5
4381261, -5
4381331, 5
4381333, -5
4381352, 5
4381399, -5
4381588, 2
4381605, -2
4381651, 2
4381696, -2
4381700, 2
4381704, -2
4381713, 2
4381735, -2
4381776, 2
4381804, -2
4381826, 2
4381827, -2
4381829, 2
4381831, -2
4381832, 2
4381838, -2
4381842, 2
4381845, -2
4381848, 2
4381850, -2
4381863, 2
4381933, -2
4381934, 2
4381957, -2
4381963, 2
4382688, -2
4387981, 2
4388092, -2
4388146, 2
4388161, -2
4388191, 2
4388228, -2
4388233, 2
4388276, -2
4388355, 2
4388387, -2
4388406, 2
4388440, -2
4389842, 5
4389863, -5
4390009, 5
4390115, -5
4390176, 5
4390179, -5
4390194, 5
4390206, -5
4390234, 5
4390252, -5
4390345, 5
4390437, -5
4390452, 5
4390455, -5
4390509, 5
4390524, -5
4390532, 5
4390574, -5
4397090, 2
4397171, -2
4397188, 2
4397222, -2
4397259, 2
4397267, -2
4397272, 2
4397341, -2
4397353, 2
4397361, -2
4397362, 2
4397364, -2
4397403, 2
4397406, -2
4397427, 2
4397481, -2
4397500, 2
4397504, -2
4397509, 2
4398047, -2
4400284, 5
4400289, -5
4400308, 5
4400315, 2
4400336, -2
4400346, 2
4400350, -2
4400352, 2
4400353, -2
4400354, 2
4400356, -2
4400359, 2
4400365, -2
4400381, -5
4400382, 2
4400385, 5
4400387, -2
4400390, 2
4400394, -5
4400449, 5
4400452, -5
4400460, -2
4400471, 5
4400487, 2
4400502, -2
4400504, 2
4400504, -2
4400513, 2
4400556, -5
4400613, 5
4400652, -2
4400653, 2
4400683, -2
4400698, -5
4400707, 5
4400708, -5
4400710, 2
4400711, 5
4400712, -5
4401343, -2
4401602, 5
4401641, -5
4414164, 2
4414249, -2
4414292, 2
4414308, -2
4414326, 2
4414329, -2
4414331, 2
4414341, -2
4414365, 2
4415112, -2
4435251, 5
4435260, -5
4435269, 5
4435314, -5
4435388, 5
4435400, -5
4435403, 5
4435453, -5
4435525, 5
4435529, -5
4435546, 5
4435601, -5
4435607, 5
4435608, -5
4435609, 5
4435610, -5
4435880, 2
4435933, -2
4435961, 2
4436036, -2
4436074, 2
4436083, -2
4436132, 2
4436134, -2
4437471, 5
4437475, -5
4437488, 5
4437519, -5
4437559, 5
4437579, -5
4437582, 5
4437586, -5
4437642, 5
4437647, -5
4437658, 5
4437727, -5
4437733, 5
4437738, -5
4437807, 5
4437813, -5
4437819, 5
4437884, -5
4437902, 5
4437904, -5
4437972, 5
4438070, -5
4438075, 5
4438076, -5
4438079, 5
4438080, -5
4446917, 5
4446934, -5
4446997, 5
4447010, -5
4447015, 5
4447016, -5
4447073, 5
4447077, -5
4447079, 5
4447087, -5
4447098, 5
4447159, -5
4447167, 5
4447174, -5
4447230, 5
4447238, -5
4447249, 5
4447318, -5
4447321, 5
4447324, -5
4456788, 5
4456885, -5
4456943, 5
4456949, -5
4456964, 5
4457034, -5
4457042, 5
4457043, -5
4457098, 5
4457104, -5
4457121, 5
4457196, -5
4510330, 5
4510424, -5
4510513, 5
4510565, -5
4512994, 5
4513054, -5
4526547, 5
4526584, -5
4526680, 5
4526732, -5
4542360, 5
4542367, -5
4542374, 5
4542432, -5
4542433, 5
4542435, -5
4552051, 2
4552064, -2
4552077, 2
4552086, -2
4552087, 2
4552093, -2
4552116, 2
4552118, -2
4552122, 2
4552188, -2
4552205, 2
4552224, -2
4552227, 2
4552242, -2
4552247, 2
4552249, -2
4552255, 2
4552328, -2
4552330, 2
4552342, -2
4552343, 2
4552344, -2
4552348, 2
4552350, -2
4552663, 2
4553636, -2
4563515, 2
4563527, -2
4563552, 2
4563562, -2
4563563, 2
4563569, -2
4563585, 2
4563591, -2
4563605, 2
4563649, -2
4563670, 2
4563692, -2
4563694, 2
4563796, -2
4563798, 2
4564689, -2
4577364, 2
4577377, -2
4577440, 2
4577463, -2
4577464, 2
4577468, -2
4577543, 2
4577554, -2
4587517, 2
4587545, -2
4587547, 2
4587555, -2
4587559, 2
4587560, -2
4587563, 2
4587571, -2
4587593, 2
4587611, -2
4587613, 2
4587659, -2
4587684, 2
4587687, -2
4587692, 2
4587707, -2
4587710, 2
4587723, -2
4587730, 2
4587774, -2
4587827, 2
4587832, -2
4587835, 2
4587838, -2
4587851, 2
4588829, -2
4598904, 2
4598942, -2
4598976, 2
4599012, -2
4599032, 2
4599050, -2
4599116, 2
4599124, -2
4599145, 2
4599155, -2
4599172, 2
4599186, -2
4599189, 2
4599203, -2
4599216, 2
4599244, -2
4599252, 2
4599258, -2
4599948, 2
4600393, -2
4609532, 4
4609543, -4
4609554, 4
4609585, -4
4620299, 2
4620306, -2
4620364, 2
4620433, -2
4620494, 2
4620518, -2
4620525, 2
4620563, -2
4620565, 2
4621394, -2
4639297, 2
4639316, -2
4639373, 2
4639403, -2
4639483, 2
4639514, -2
4639529, 2
4639537, -2
4650557, 2
4650562, -2
4650613, 2
4650688, -2
4650691, 2
4650772, -2
4650777, 2
4650792, -2
4650795, 2
4650825, -2
4650826, 2
4650858, -2
4650864, 2
4650895, -2
4650905, 2
4652073, -2
4656184, 4
4656234, -4
4683816, 2
4683846, -2
4683849, 2
4683881, -2
4683951, 2
4683962, -2
4683981, 2
4683999, -2
4684001, 2
4684005, -2
4684007, 2
4684018, -2
4684021, 2
4684037, -2
4684047, 2
4684076, -2
4684088, 2
4684764, -2
4695108, 2
4695149, -2
4695150, 2
4695156, -2
4695157, 2
4695159, -2
4695161, 2
4695163, -2
4695168, 2
4695174, -2
4695188, 2
4695285, -2
4695291, 2
4695296, -2
4695298, 2
4695299, -2
4695327, 2
4695361, -2
4695373, 2
4695411, -2
4695416, 2
4695426, -2
4695430, 2
4696694, -2
4709668, 2
4709706, -2
4709707, 2
4709710, -2
4709712, 2
4709743, -2
4709745, 2
4709835, -2
4709837, 2
4709841, -2
4709842, 2
4709853, -2
4709874, 2
4709878, -2
4709880, 2
4709919, -2
4709924, 2
4709955, -2
4709962, 2
4709966, -2
4709967, 2
4709968, -2
4709971, 2
4709980, -2
4709981, 2
4711313, -2
4717856, 2
4717858, -2
4717972, 2
4718046, -2
4718078, 2
4718095, -2
4731187, 2
4731251, -2
4731268, 2
4731396, -2
4731424, 2
4731435, -2
4731437, 2
4731440, -2
4731441, 2
4732115, -2
4737086, 6
4737098, -6
4737113, 6
4737193, -6
4737200, 6
4737208, -6
4739668, 2
4739706, -2
4739708, 2
4739710, -2
4739713, 2
4739719, -2
4739738, 2
4739779, -2
4739812, 2
4739850, -2
4739851, 2
4739863, -2
4739883, 2
4739984, -2
4740070, 2
4740952, -2
4810334, 6
4810348, -6
4827025, 6
4827044, -6
4867876, 6
4867897, -6
4867910, 6
4867979, -6
4867988, 6
4867990, -6
4868008, 6
4868011, -6
4868012, 6
4868013, -6
4885398, 6
4885408, -6
4885538, 6
4885548, -6
4899215, 6
4899314, -6
5365400, 5
5365406, -5
5365425, 5
5365492, -5
5365573, 5
5365607, -5
5365622, 5
5365630, -5
5376672, 3
5376681, -3
5376727, 3
5376737, -3
5388537, 6
5388548, -6
5402725, 5
5402760, -5
5402785, 5
5402799, -5
5402937, 5
5402941, -5
5402957, 5
5402962, -5
5413388, 3
5413396, -3
5413518, 3
5413528, -3
5413565, 3
5413608, -3
5413610, 3
5413611, -3
5413612, 3
5413630, -3
5431622, 6
5431635, -6
5431647, 6
5431681, -6
5435627, 5
5435636, -5
5435638, 5
5435720, -5
5435796, 5
5435805, -5
5435816, 5
5435856, -5
5447411, 6
5447429, -6
5447449, 6
5447514, -6
5447539, 6
5447543, -6
5447545, 6
5447546, -6
5447599, 6
5447656, -6
5447673, 6
5447674, -6
5460430, 3
5460472, -3
5464945, 6
5464952, -6
5464980, 6
5464995, -6
5465070, 6
5465085, -6
5465093, 6
5465124, -6
5481000, 5
5481003, -5
5481032, 5
5481091, -5
5481180, 5
5481187, -5
5481236, 5
5481237, -5
5491584, 3
5491634, -3
5504336, 5
5504352, -5
5509256, 2
5509269, -2
5509311, 2
5509594, -2
5509595, 2
5509598, -2
5509599, 2
5509665, -2
5509756, 2
5510622, -2
5515711, 6
5515734, -6
5515746, 6
5515780, -6
5515799, 6
5515806, -6
5515863, 6
5515873, -6
5515889, 6
5515907, -6
5558687, 5
5558695, -5
5558707, 5
5558719, -5
5558724, 5
5558775, -5
5558901, 5
